table_schema,table_name,table_type
public,issue_aud,BASE TABLE
public,issue_documents,BASE TABLE
public,issue_documents_aud,BASE TABLE
public,jhi_authority,BASE TABLE
public,jhi_persistent_audit_event,BASE TABLE
public,jhi_persistent_audit_evt_data,BASE TABLE
public,jhi_user,BASE TABLE
public,jhi_user_authority,BASE TABLE
public,job,BASE TABLE
public,job_attributes,BASE TABLE
public,job_attributes_aud,BASE TABLE
public,job_aud,BASE TABLE
public,job_documents,BASE TABLE
public,job_documents_aud,BASE TABLE
public,job_impacts,BASE TABLE
public,job_impacts_aud,BASE TABLE
public,job_resources,BASE TABLE
public,job_resources_aud,BASE TABLE
public,last_selected_viewer_object,BASE TABLE
public,localization,BASE TABLE
public,log_event,BASE TABLE
public,mapping_rule,BASE TABLE
public,mapping_rule_ifc_objects,BASE TABLE
public,mapping_rule_model_categories,BASE TABLE
public,mapping_rule_source,BASE TABLE
public,material,BASE TABLE
public,mdt_pset_category,BASE TABLE
public,model,BASE TABLE
public,model_floors,BASE TABLE
public,model_import,BASE TABLE
public,notification_setting,BASE TABLE
public,open_cde_document,BASE TABLE
public,open_cde_document_selection,BASE TABLE
public,open_cde_file,BASE TABLE
public,open_cde_file_upload,BASE TABLE
public,open_cde_supported_file_extensions,BASE TABLE
public,pg_stat_statements,VIEW
public,pg_stat_statements_info,VIEW
public,pick_list,BASE TABLE
public,pick_list_value,BASE TABLE
public,pick_list_value_idp_ifc_object,BASE TABLE
public,project,BASE TABLE
public,project_acl,BASE TABLE
public,project_config_entity,BASE TABLE
public,project_config_entity_element,BASE TABLE
public,project_config_entity_t_column,BASE TABLE
public,project_user_group,BASE TABLE
public,project_user_group_project_roles,BASE TABLE
public,property,BASE TABLE
public,property_set,BASE TABLE
public,property_set_ifc_objects,BASE TABLE
public,qr_code,BASE TABLE
public,resource,BASE TABLE
public,resource_attributes,BASE TABLE
public,resource_attributes_aud,BASE TABLE
public,resource_aud,BASE TABLE
public,resource_documents,BASE TABLE
public,resource_documents_aud,BASE TABLE
public,resource_impacts,BASE TABLE
public,resource_impacts_aud,BASE TABLE
public,revinfo,BASE TABLE
public,revision_lookup,BASE TABLE
public,search_entity,BASE TABLE
public,sla_time_config,BASE TABLE
public,sla_time_exception,BASE TABLE
