table_schema,table_name,index_name,index_def
public,asset_component_assembly_components,asset_component_assembly_components_pkey,"CREATE UNIQUE INDEX asset_component_assembly_components_pkey ON public.asset_component_assembly_components USING btree (asset_component_assemblies_id, components_id)"
public,asset_component_assembly_components_aud,asset_component_assembly_components_aud_pkey,"CREATE UNIQUE INDEX asset_component_assembly_components_aud_pkey ON public.asset_component_assembly_components_aud USING btree (asset_component_assemblies_id, components_id, rev)"
public,asset_component_assembly_documents,asset_component_assembly_documents_pkey,"CREATE UNIQUE INDEX asset_component_assembly_documents_pkey ON public.asset_component_assembly_documents USING btree (asset_component_assemblies_id, documents_id)"
public,asset_component_assembly_documents,idx_speed_asset_component_assembly_documents_asset_component_as,CREATE INDEX idx_speed_asset_component_assembly_documents_asset_component_as ON public.asset_component_assembly_documents USING btree (asset_component_assemblies_id)
public,asset_component_assembly_documents,idx_speed_asset_component_assembly_documents_documents_id,CREATE INDEX idx_speed_asset_component_assembly_documents_documents_id ON public.asset_component_assembly_documents USING btree (documents_id)
public,asset_component_assembly_documents_aud,asset_component_assembly_documents_aud_pkey,"CREATE UNIQUE INDEX asset_component_assembly_documents_aud_pkey ON public.asset_component_assembly_documents_aud USING btree (asset_component_assemblies_id, documents_id, rev)"
public,asset_component_assembly_documents_aud,idx_asset_component_assembly_documents_aud_revtype,CREATE INDEX idx_asset_component_assembly_documents_aud_revtype ON public.asset_component_assembly_documents_aud USING btree (revtype)
public,asset_component_assembly_impacts,asset_component_assembly_impacts_pkey,"CREATE UNIQUE INDEX asset_component_assembly_impacts_pkey ON public.asset_component_assembly_impacts USING btree (asset_component_assemblies_id, impacts_id)"
public,asset_component_assembly_impacts_aud,asset_component_assembly_impacts_aud_pkey,"CREATE UNIQUE INDEX asset_component_assembly_impacts_aud_pkey ON public.asset_component_assembly_impacts_aud USING btree (asset_component_assemblies_id, impacts_id, rev)"
public,asset_component_assembly_impacts_aud,idx_asset_component_assembly_impacts_aud_revtype,CREATE INDEX idx_asset_component_assembly_impacts_aud_revtype ON public.asset_component_assembly_impacts_aud USING btree (revtype)
public,asset_component_attributes,asset_component_attributes_pkey,"CREATE UNIQUE INDEX asset_component_attributes_pkey ON public.asset_component_attributes USING btree (asset_components_id, attributes_id)"
public,asset_component_attributes,idx_speed_asset_component_attributes_asset_components_id,CREATE INDEX idx_speed_asset_component_attributes_asset_components_id ON public.asset_component_attributes USING btree (asset_components_id)
public,asset_component_attributes,idx_speed_asset_component_attributes_attributes_id,CREATE INDEX idx_speed_asset_component_attributes_attributes_id ON public.asset_component_attributes USING btree (attributes_id)
public,asset_component_attributes_aud,asset_component_attributes_aud_pkey,"CREATE UNIQUE INDEX asset_component_attributes_aud_pkey ON public.asset_component_attributes_aud USING btree (asset_components_id, attributes_id, rev)"
public,asset_component_attributes_aud,idx_asset_component_attributes_aud_revtype,CREATE INDEX idx_asset_component_attributes_aud_revtype ON public.asset_component_attributes_aud USING btree (revtype)
public,asset_component_aud,idx_asset_component_aud_id,CREATE INDEX idx_asset_component_aud_id ON public.asset_component_aud USING btree (id)
public,asset_component_aud,idx_asset_component_aud_rev,CREATE INDEX idx_asset_component_aud_rev ON public.asset_component_aud USING btree (rev)
public,asset_component_aud,idx_asset_component_aud_revend,CREATE INDEX idx_asset_component_aud_revend ON public.asset_component_aud USING btree (revend)
public,asset_component_aud,idx_asset_component_aud_revtype,CREATE INDEX idx_asset_component_aud_revtype ON public.asset_component_aud USING btree (revtype)
